genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AC004080.17,0,0,0,0,0,0,0,0,0,0,0,0
AC004080.2,0,0,0,0,0,0,0,0,1,0,1,0
AC004080.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004080.4,0,0,0,0,13,0,0,1,0,0,0,0
AC004080.6,0,0,0,0,0,0,0,0,0,0,0,0
AC004083.1,0,0,0,1,0,13,0,2,17,0,1,1
AC004112.1,0,0,0,1,0,21,0,7,0,0,2,0
AC004125.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.2,0,0,0,0,0,0,0,0,0,0,0,0
AC004129.3,0,0,0,1,2,0,0,0,0,0,0,0
AC004130.1,0,0,0,0,0,0,0,0,0,0,0,0
AC004130.2,5,0,1,0,0,10,0,0,3,0,8,8
AC004134.1,0,0,0,0,0,0,0,1,0,0,2,0
AC004147.1,0,0,0,3,0,0,0,0,0,0,0,0
AC004147.2,0,0,0,0,7,0,0,0,0,0,0,0
AC004147.3,0,0,0,0,0,0,0,0,0,0,0,0
AC004148.1,0,0,0,6,9,8,0,5,32,52,21,38
AC004156.1,0,0,0,3,1,2,0,2,6,0,10,1
AC004158.1,0,0,0,0,0,1,0,0,0,0,5,0
AC004160.1,0,0,0,54,83,1,0,4,11,91,5,23
